Identifiant article;Code-barres article;Code article;Libellé;Famille;Fournisseur principal;Collection;Prix de revient HT article;Prix Détail (TTC);Prix unique;Catégorie;Grille masque des dimensions;Grille dimension 1;Code tarif;
;6191114155183;;JABLA;;;24E;0;0;-;;;;;
00100015                         X;;00100015;INEZ;PYJAMA;STE TEX-MODE;24H;32;100;-;PFL;0GS;;;
12142                            X;;12142;JEOVANA;ROBE;STE RFBK;24E;16;80;-;PFL;0GK;;R0;
12143                            X;;12143;JACARNAD;COLLANT;SATINA KAIS BENGHALIA;24E;2;8;-;PFL;0GK;;R0;
12144                            X;;12144;JIANNI;CHAUSSURES;JOELLE;24E;33;90;-;PFL;0GM;;R0;
12145                            X;;12145;JEZY;CHAUSSURES;JOELLE;24E;30;90;-;PFL;0GM;;R0;
12146                            X;;12146;JEFFRAY;ROBE;TIN TRADE;24E;31;90;-;PFL;0GK;;R0;
12147                            X;;12147;JASSIME;VESTE;TIN TRADE;24E;24;70;-;PFL;0GK;;R0;
12148                            X;;12148;JAMYL;JUPE;TIN TRADE;24E;21;60;-;PFL;0GK;;R0;
12149                            X;;12149;JACEE;TEE SHIRT;TIN TRADE;24E;14;40;-;PFL;0GK;;R0;
12150                            X;;12150;JACASSEUR;ROBE;TIN TRADE;24E;31;90;-;PFL;0GK;;R0;
12151                            X;;12151;JACASSERIES;JUPE;TIN TRADE;24E;21;60;-;PFL;0GK;;R0;
12152                            X;;12152;JACASSE;TEE SHIRT;TIN TRADE;24E;16;50;-;PFL;0GK;;R0;
12153                            X;;12153;JACARANDA;TEE SHIRT;TIN TRADE;24E;24;60;-;PFL;0GK;;R0;
12154                            X;;12154;JABRAN;JUPE;TIN TRADE;24E;21;60;-;PFL;0GK;;R0;
12155                            X;;12155;JABOTS;SHORT;TIN TRADE;24E;27;80;-;PFL;0GK;;R0;
12156                            X;;12156;JABOTER;VESTE;TIN TRADE;24E;27;90;-;PFL;0GK;;R0;
12157                            X;;12157;JUDITH;GILET;COMETEX;24E;23;70;-;PFL;0GK;;R0;
12158                            X;;12158;JUDITE;GILET;COMETEX;24E;23;70;-;PFL;0GK;;R0;
12159                            X;;12159;JOANY;SAC A MAIN;SHADO;24E;17;50;-;PFL;0GJ;;R0;
12160                            X;;12160;JOHNNY;SAC A MAIN;SHADO;24E;21;60;-;PFL;0GJ;;R0;
12161                            X;;12161;JOHNSON;SAC A MAIN;SHADO;24E;17;50;-;PFL;0GJ;;R0;
12162                            X;;12162;JOAO;SAC A MAIN;SHADO;24E;17;50;-;PFL;0GJ;;R0;
12163                            X;;12163;JOAS;SAC A MAIN;SHADO;24E;21;60;-;PFL;0GJ;;R0;
20272                            X;;20272;JACINTHE;ENSEMBLE CHEMISE;MAILLE CLUB;24E;47;140;-;PFM;0GG;;R0;
20490                            X;;20490;JACHELIN;PYJAMA;MAILLE CLUB;24E;30;80;-;PFM;0GG;;R0;
20491                            X;;20491;JACY;PYJAMA;MAILLE CLUB;24E;39;100;-;PFM;0GG;;R0;
20492                            X;;20492;JADOR;PYJAMA;MAILLE CLUB;24E;35;90;-;PFM;0GG;;R0;
20493                            X;;20493;JADINE;LIQUETTE;MAILLE CLUB;24E;28;80;-;PFM;0GG;;R0;
20494                            X;;20494;JAIS;LIQUETTE;MAILLE CLUB;24E;21;60;-;PFM;0GG;;R0;
20495                            X;;20495;JET;ROBE;MAILLE CLUB;24E;37;110;-;PFM;0GG;;R0;
20496                            X;;20496;JAJA;ROBE;MAILLE CLUB;24E;45;130;-;PFM;0GG;;R0;
20497                            X;;20497;JERBA;ROBE;MAILLE CLUB;24E;43;130;-;PFM;0GG;;R0;
20498                            X;;20498;JURA;ROBE;MAILLE CLUB;24E;0;150;-;PFM;0GG;;R0;
20499                            X;;20499;JARDIN;ROBE;MAILLE CLUB;24E;37;110;-;PFM;0GG;;R0;
20500                            X;;20500;JACINTHE;ROBE;ROSELLA;24E;36;100;-;PFL;0GE;;R0;
20501                            X;;20501;JASMIN;VESTE;ROSELLA;24E;70;200;-;PFL;0GE;;R0;
20502                            X;;20502;JONQUILLE;PANTALON;ROSELLA;24E;39;120;-;PFL;0GE;;R0;
20503                            X;;20503;JOUBARBE;VESTE;ROSELLA;24E;39;110;-;PFL;0GE;;R0;
20504                            X;;20504;JASIONE;VESTE;ROSELLA;24E;69;190;-;PFL;0GE;;R0;
20505                            X;;20505;JASMINUM;PANTALON;ROSELLA;24E;36;100;-;PFL;0GE;;R0;
20506                            X;;20506;20506;ROBE;MAILLE CLUB;24E;0;0;-;PFM;0GG;;R0;
20508                            X;;20508;JACOB;VESTE;ROSELLA;24E;68;190;-;PFL;0GE;;R0;
20509                            X;;20509;JUNIPER;PANTALON;ROSELLA;24E;36;100;-;PFL;0GE;;R0;
20510                            X;;20510;JAYA;VESTE;ROSELLA;24E;46;150;-;PFL;0GE;;R0;
20511                            X;;20511;JACKSON;PANTALON;ROSELLA;24E;36;100;-;PFL;0GE;;R0;
20512                            X;;20512;JEFERSON;CHEMISE;ROSELLA;24E;39;110;-;PFL;0GE;;R0;
20513                            X;;20513;JUGAL;PANTALON;ROSELLA;24E;37;110;-;PFL;0GE;;R0;
20514                            X;;20514;JOVELLANA;ROBE;ROSELLA;24E;56;160;-;PFL;0GE;;R0;
20515                            X;;20515;JUNCUS;ROBE;ROSELLA;24E;55;150;-;PFL;0GE;;R0;
20516                            X;;20516;JABI;TUNIQUE;MAILLE CLUB;24E;18;60;-;PFM;0GG;;R0;
20517                            X;;20517;JAMBOSA;PANTALON;ROSELLA;24E;36;100;-;PFL;0GE;;R0;
20518                            X;;20518;JACKLIN;GILET;MAILLE CLUB;24E;28;80;-;PFM;0GG;;R0;
20519                            X;;20519;JUSTICIA;PANTALON;ROSELLA;24E;36;100;-;PFL;0GE;;R0;
20522                            X;;20522;JACKIE;TUNIQUE;MAILLE CLUB;24E;22;70;-;PFM;0GG;;R0;
20528                            X;;20528;JAPPE;PANTALON;MAILLE CLUB;24E;46;120;-;PFM;0GG;;R0;
20529                            X;;20529;JADIS;PANTALON;MAILLE CLUB;24E;42;120;-;PFM;0GG;;R0;
20530                            X;;20530;JALON;PANTALON;MAILLE CLUB;24E;41;120;-;PFM;0GG;;R0;
20534                            X;;20534;JADE VINE;VESTE;ROSELLA;24E;68;190;-;PFL;0GH;;R0;
20536                            X;;20536;JATROPHA;PANTALON;ROSELLA;24E;35;100;-;PFL;0GH;;R0;
20537                            X;;20537;JOELLE;ROBE;ROSELLA;24E;55;150;-;PFL;0GH;;R0;
20538                            X;;20538;JEOVANA;ROBE;ROSELLA;24E;57;160;-;PFL;0GH;;R0;
20539                            X;;20539;JAVA;CHEMISE;ROSELLA;24E;36;100;-;PFL;0GH;;R0;
20548                            X;;20548;JARL;ROBE;MAILLE CLUB;24E;66;170;-;PFM;0GG;;R0;
20550                            X;;20550;JUVENILE;BLOUSE;MAILLE CLUB;24E;25;80;-;PFM;0GG;;R0;
20555                            X;;20555;JIM;ROBE;MAILLE CLUB;24E;35;110;-;PFM;0GG;;R0;
20559                            X;;20559;JACASSERIE;ROBE;MAILLE CLUB;24E;48;140;-;PFM;0GG;;R0;
20561                            X;;20561;JASA;PANTALON;MAILLE CLUB;24E;46;120;-;PFM;0GG;;R0;
20562                            X;;20562;JABIER;KIMONO;ROSELLA;24E;42;130;-;PFL;0GI;;R0;
20564                            X;;20564;JAFFE;ROBE;MAILLE CLUB;24E;49;150;-;PFM;0GI;;R0;
20565                            X;;20565;JACTA;ROBE;MAILLE CLUB;24E;49;150;-;PFM;0GI;;R0;
20568                            X;;20568;JOUBARBE;ROBE;ARTEMIS;24E;45;140;-;PFL;0GH;;R0;
20569                            X;;20569;JASIONE;ROBE;ARTEMIS;24E;48;140;-;PFL;0GH;;R0;
20570                            X;;20570;JASMINUM;CHEMISE;ARTEMIS;24E;32;90;-;PFL;0GH;;R0;
20571                            X;;20571;JATROPHA;PANTALON;ARTEMIS;24E;26;80;-;PFL;0GH;;R0;
20572                            X;;20572;JACOB;CHEMISE;ARTEMIS;24E;41;120;-;PFL;0GH;;R0;
20573                            X;;20573;JUNIPER;PANTALON;ARTEMIS;24E;37;110;-;PFL;0GH;;R0;
20575                            X;;20575;JACKSON;CHEMISE;ARTEMIS;24E;28;80;-;PFL;0GH;;R0;
20576                            X;;20576;JEFERSON;CHEMISE;ARTEMIS;24E;32;90;-;PFL;0GH;;R0;
20577                            X;;20577;JUGAL;PANTALON;ARTEMIS;24E;29;90;-;PFL;0GH;;R0;
20578                            X;;20578;JOE;PANTALON;ARTEMIS;24E;32;90;-;PFL;0GH;;R0;
20579                            X;;20579;JOVELLANA;ROBE;ARTEMIS;24E;55;160;-;PFL;0GH;;R0;
20580                            X;;20580;JUNCUS;PANTALON;ARTEMIS;24E;29;90;-;PFL;0GH;;R0;
20581                            X;;20581;JONQUILLE;ROBE;ARTEMIS;24E;53;160;-;PFL;0GH;;R0;
20582                            X;;20582;JAYA;BLOUSE;ARTEMIS;24E;41;110;-;PFL;0GH;;R0;
20583                            X;;20583;JAMBOSA;KIMONO;METAPHORE LINE;24E;41;120;-;PFL;0GJ;;R0;
20584                            X;;20584;JUSTICIA;TUNIQUE;METAPHORE LINE;24E;16;50;-;PFL;0GI;;R0;
20585                            X;;20585;JACARNAD;KIMONO;METAPHORE LINE;24E;41;120;-;PFL;0GJ;;R0;
20586                            X;;20586;JUNCUS;PANTALON;STE RFBK;24E;17;70;-;PFL;0GE;;R0;
20587                            X;;20587;JAVA;PANTALON;STE RFBK;24E;17;70;-;PFL;0GE;;R0;
20590                            X;;20590;JACQUI;VESTE;ROSELLA;24E;46;130;-;PFL;0GH;;R0;
20591                            X;;20591;JEOSEP;PANTALON;ROSELLA;24E;38;110;-;PFL;0GH;;R0;
20592                            X;;20592;JACINTHE;PANTALON;ROSELLA;24E;38;110;-;PFL;0GH;;R0;
20593                            X;;20593;JACINTO;CHEMISE;ROSELLA;24E;36;110;-;PFL;0GH;;R0;
20594                            X;;20594;JACK;CHEMISE;ROSELLA;24E;39;110;-;PFL;0GH;;R0;
20595                            X;;20595;JACKI;ROBE;ROSELLA;24E;56;160;-;PFL;0GH;;R0;
20596                            X;;20596;JADE;ROBE;ROSELLA;24E;53;150;-;PFL;0GH;;R0;
20597                            X;;20597;JACKY;ROBE;ROSELLA;24E;53;150;-;PFL;0GH;;R0;
20598                            X;;20598;JALIA;ROBE;ROSELLA;24E;53;150;-;PFL;0GH;;R0;
20599                            X;;20599;JACQUE;ROBE;ROSELLA;24E;53;150;-;PFL;0GH;;R0;
20600                            X;;20600;JAD;BLOUSE;ROSELLA;24E;29;90;-;PFL;0GH;;R0;
20601                            X;;20601;JADEN;ROBE;ROSELLA;24E;54;160;-;PFL;0GH;;R0;
20602                            X;;20602;JAEL;PANTALON;ROSELLA;24E;36;100;-;PFL;0GH;;R0;
20603                            X;;20603;JAHEIM;ROBE;ROSELLA;24E;58;160;-;PFL;0GH;;R0;
20604                            X;;20604;JAHIDA;ROBE;ROSELLA;24E;55;160;-;PFL;0GH;;R0;
20605                            X;;20605;JACINTA;KIMONO;ROSELLA;24E;43;120;-;PFL;0GI;;R0;
20606                            X;;20606;JACQUELI;ROBE;MAILLE CLUB;24E;0;0;-;PFM;0GG;;R0;
20608                            X;;20608;JEMS;LOUNGE WEAR;3A TRICOTAGE;24E;40;130;-;PFL;0GE;;R0;
20609                            X;;20609;JOAHN;CHAUSSURES;JOELLE;24E;28;80;-;PFL;0GL;;R0;
20610                            X;;20610;JANKA;CHAUSSURES;JOELLE;24E;30;90;-;PFL;0GL;;R0;
20611                            X;;20611;JOSSUAH;CHAUSSURES;JOELLE;24E;31;90;-;PFL;0GL;;R0;
20612                            X;;20612;JOLANNE;CHAUSSURES;JOELLE;24E;35;110;-;PFL;0GL;;R0;
20613                            X;;20613;JALE;CHAUSSURES;JOELLE;24E;21;60;-;PFL;0GL;;R0;
20614                            X;;20614;JYM;CHAUSSURES;JOELLE;24E;21;70;-;PFL;0GL;;R0;
20615                            X;;20615;JUNOT;CHAUSSURES;JOELLE;24E;31;90;-;PFL;0GL;;R0;
20616                            X;;20616;JUANY;CHAUSSURES;JOELLE;24E;35;110;-;PFL;0GL;;R0;
20617                            X;;20617;JOZE;CHAUSSURES;JOELLE;24E;33;110;-;PFL;0GL;;R0;
20618                            X;;20618;JOSIP;CHAUSSURES;JOELLE;24E;34;100;-;PFL;0GL;;R0;
20619                            X;;20619;JOSIAH;CHAUSSURES;JOELLE;24E;35;100;-;PFL;0GL;;R0;
20620                            X;;20620;JOSET;CHAUSSURES;JOELLE;24E;33;100;-;PFL;0GL;;R0;
20621                            X;;20621;JOSEPHIN;CHAUSSURES;JOELLE;24E;35;100;-;PFL;0GL;;R0;
20622                            X;;20622;JOSCELYN;CHAUSSURES;JOELLE;24E;31;90;-;PFL;0GL;;R0;
20623                            X;;20623;JOHNES;CHAUSSURES;JOELLE;24E;35;100;-;PFL;0GL;;R0;
20624                            X;;20624;JOHANIS;CHAUSSURES;JOELLE;24E;35;100;-;PFL;0GL;;R0;
20625                            X;;20625;JOHANEL;CHAUSSURES;JOELLE;24E;33;100;-;PFL;0GL;;R0;
20626                            X;;20626;JOHANAN;CHAUSSURES;JOELLE;24E;33;110;-;PFL;0GL;;R0;
20627                            X;;20627;JOHAD;CHAUSSURES;JOELLE;24E;38;110;-;PFL;0GL;;R0;
20628                            X;;20628;JOANNI;CHAUSSURES;JOELLE;24E;40;120;-;PFL;0GL;;R0;
20629                            X;;20629;JOANICK;CHAUSSURES;JOELLE;24E;34;100;-;PFL;0GL;;R0;
20630                            X;;20630;JIOVANNY;CHAUSSURES;JOELLE;24E;40;120;-;PFL;0GL;;R0;
20631                            X;;20631;JIMMIE;CHAUSSURES;JOELLE;24E;35;100;-;PFL;0GL;;R0;
20632                            X;;20632;JEROEN;CHAUSSURES;JOELLE;24E;38;110;-;PFL;0GL;;R0;
20639                            X;;20639;JAO;ROBE;MAILLE CLUB;24E;36;110;-;PFM;0GG;;R0;
20640                            X;;20640;JOEZ;BLOUSE;MAILLE CLUB;24E;40;120;-;PFM;0GG;;R0;
20641                            X;;20641;JASMIN;CHEMISE;MAILLE CLUB;24E;33;100;-;PFM;0GG;;R0;
20643                            X;;20643;JABORANDI;LOUNGE WEAR;ARTEMIS;24E;42;120;-;PFL;0GG;;R0;
20644                            X;;20644;JABLOIR;ROBE;ARTEMIS;24E;35;100;-;PFL;0GG;;R0;
20645                            X;;20645;JULIAN;ROBE;AICHA FASHION;24E;35;100;-;PFL;0GG;;R0;
20646                            X;;20646;JABIRUS;CHEMISE;AICHA FASHION;24E;28;80;-;PFL;0GG;;R0;
20647                            X;;20647;JABLER;ROBE;AICHA FASHION;24E;35;100;-;PFL;0GG;;R0;
20648                            X;;20648;JULIANA;ROBE;AICHA FASHION;24E;35;100;-;PFL;0GG;;R0;
20649                            X;;20649;JULIANO;ROBE;AICHA FASHION;24E;32;90;-;PFL;0GG;;R0;
20650                            X;;20650;JULIDE;KIMONO;AICHA FASHION;24E;42;120;-;PFL;0GG;;R0;
20651                            X;;20651;JULIEN;CHEMISE;AICHA FASHION;24E;28;80;-;PFL;0GG;;R0;
20655                            X;;20655;JULIE;GILET;AICHA FASHION;24E;21;70;-;PFL;0GG;;R0;
20656                            X;;20656;JULIANE;ROBE;AICHA FASHION;24E;24;70;-;PFL;0GG;;R0;
20657                            X;;20657;JUN;BLOUSE;AICHA FASHION;24E;22;70;-;PFL;0GG;;R0;
20658                            X;;20658;JULIET;ROBE;AICHA FASHION;24E;28;80;-;PFL;0GG;;R0;
20659                            X;;20659;JULIO;ROBE;AICHA FASHION;24E;28;80;-;PFL;0GG;;R0;
20660                            X;;20660;JULIUS;ROBE;AICHA FASHION;24E;28;80;-;PFL;0GG;;R0;
20661                            X;;20661;JULY;CHEMISE;AICHA FASHION;24E;22;70;-;PFL;0GG;;R0;
20663                            X;;20663;JULIANN;CHEMISE;STE TEX-MODE;24E;28;90;-;PFL;0GG;;R0;
20664                            X;;20664;JADA;BLOUSE;MAILLE CLUB;24E;38;110;-;PFM;0GG;;R0;
20665                            X;;20665;JULIETTA;PULL;TUNETEX;24E;20;90;-;PFL;0GE;;R0;
20667                            X;;20667;JUNON;ROBE;MAILLE CLUB;24E;45;130;-;PFM;0GG;;R0;
20668                            X;;20668;JUNE;BLOUSE;MAILLE CLUB;24E;25;80;-;PFM;0GG;;R0;
20669                            X;;20669;JADE;ROBE;MAILLE CLUB;24E;48;140;-;PFM;0GG;;R0;
20670                            X;;20670;JADEN;ROBE;MAILLE CLUB;24E;48;140;-;PFM;0GG;;R0;
20671                            X;;20671;JUNAYD;ROBE;MAILLE CLUB;24E;53;150;-;PFM;0GG;;R0;
20672                            X;;20672;JUNIE;ROBE;MAILLE CLUB;24E;0;0;-;PFM;0GG;;R0;
20673                            X;;20673;JACQUES;ROBE;MAILLE CLUB;24E;37;120;-;PFM;0GG;;R0;
20674                            X;;20674;JULYANN;ROBE;MAILLE CLUB;24E;49;140;-;PFM;0GG;;R0;
20675                            X;;20675;JUNA;ROBE;MAILLE CLUB;24E;44;130;-;PFM;0GG;;R0;
20676                            X;;20676;JULYANA;ROBE;MAILLE CLUB;24E;49;140;-;PFM;0GG;;R0;
20677                            X;;20677;JACQUE;BLOUSE;MAILLE CLUB;24E;28;90;-;PFM;0GG;;R0;
20678                            X;;20678;JACQUELIN;ROBE;MAILLE CLUB;24E;38;110;-;PFM;0GG;;R0;
20679                            X;;20679;JACQUI;BLOUSE;MAILLE CLUB;24E;38;110;-;PFM;0GG;;R0;
20680                            X;;20680;JAHEIM;ROBE;MAILLE CLUB;24E;36;110;-;PFM;0GG;;R0;
20681                            X;;20681;JAHDEN;ROBE;MAILLE CLUB;24E;35;110;-;PFM;0GG;;R0;
20682                            X;;20682;JULO;ROBE;MAILLE CLUB;24E;0;0;-;PFM;0GG;;R0;
20683                            X;;20683;JULIEANNE;ROBE;MAILLE CLUB;24E;39;120;-;PFM;0GG;;R0;
20684                            X;;20684;JULIETTE;ROBE;MAILLE CLUB;24E;34;100;-;PFM;0GG;;R0;
20685                            X;;20685;JULINA;CHEMISE;MAILLE CLUB;24E;32;90;-;PFM;0GG;;R0;
20686                            X;;20686;JULINE;ROBE;MAILLE CLUB;24E;42;120;-;PFM;0GG;;R0;
20687                            X;;20687;JOSUA;ROBE;MAILLE CLUB;24E;41;120;-;PFM;0GG;;R0;
20688                            X;;20688;JOSUE;CHEMISE;MAILLE CLUB;24E;28;80;-;PFM;0GG;;R0;
20689                            X;;20689;JOSY;LOUNGE WEAR;MAILLE CLUB;24E;45;130;-;PFM;0GG;;R0;
20690                            X;;20690;JOUD;TUNIQUE;MAILLE CLUB;24E;26;80;-;PFM;0GG;;R0;
20691                            X;;20691;JULEN;GILET;COMETEX;24E;34;100;-;PFL;0GG;;R0;
20692                            X;;20692;JULE;GILET;COMETEX;24E;33;100;-;PFL;0GG;;R0;
20693                            X;;20693;JUL;GILET;COMETEX;24E;33;90;-;PFL;0GG;;R0;
20694                            X;;20694;JUGURTHA;GILET;COMETEX;24E;28;80;-;PFL;0GG;;R0;
20695                            X;;20695;JORDANNE;JUPE;STE PRIMAVET;24E;24;70;-;PFL;0GG;;R0;
20696                            X;;20696;JORDI;JUPE;STE PRIMAVET;24E;24;70;-;PFL;0GG;;R0;
20697                            X;;20697;JORDY;JUPE;STE PRIMAVET;24E;28;80;-;PFL;0GG;;R0;
20698                            X;;20698;JOREL;JUPE;STE PRIMAVET;24E;28;80;-;PFL;0GG;;R0;
20699                            X;;20699;JORGE;VESTE;STE PRIMAVET;24E;24;70;-;PFL;0GG;;R0;
20700                            X;;20700;JORIAN;PANTALON;STE PRIMAVET;24E;25;80;-;PFL;0GG;;R0;
20701                            X;;20701;JOSUE;PANTALON;STE PRIMAVET;24E;25;80;-;PFL;0GG;;R0;
20702                            X;;20702;JOSYANE;PANTALON;STE PRIMAVET;24E;25;80;-;PFL;0GG;;R0;
20703                            X;;20703;JORICK;PANTALON;STE PRIMAVET;24E;31;90;-;PFL;0GG;;R0;
20704                            X;;20704;JORIS;PANTALON;STE PRIMAVET;24E;31;90;-;PFL;0GG;;R0;
20705                            X;;20705;JOUDE;PANTALON;STE PRIMAVET;24E;36;110;-;PFL;0GG;;R0;
20706                            X;;20706;JOUDIA;PANTALON;STE PRIMAVET;24E;28;90;-;PFL;0GG;;R0;
20707                            X;;20707;JOUHAYNA;PANTALON;STE PRIMAVET;24E;29;90;-;PFL;0GG;;R0;
20708                            X;;20708;JOULIA;PANTALON;STE PRIMAVET;24E;29;90;-;PFL;0GG;;R0;
20709                            X;;20709;JORY;PANTALON;STE PRIMAVET;24E;31;80;-;PFL;0GG;;R0;
20710                            X;;20710;JOSEF;PANTALON;STE PRIMAVET;24E;35;110;-;PFL;0GG;;R0;
20711                            X;;20711;JOHAN;VESTE;STE PRIMAVET;24E;39;120;-;PFL;0GG;;R0;
20713                            X;;20713;JOHAKIM;PANTALON;STE PRIMAVET;24E;28;90;-;PFL;0GG;;R0;
20714                            X;;20714;JORYS;VESTE;ROSELLA;24E;81;230;-;PFL;0GH;;R0;
20715                            X;;20715;JOSE;VESTE;ROSELLA;24E;81;230;-;PFL;0GH;;R0;
20716                            X;;20716;JOUNEYD;LOUNGE WEAR;ARTEMIS;24E;47;140;-;PFL;0GH;;R0;
20717                            X;;20717;JOURI;ROBE;ARTEMIS;24E;33;90;-;PFL;0GH;;R0;
20718                            X;;20718;JOSEE;ROBE;ARTEMIS;24E;29;80;-;PFL;0GH;;R0;
20719                            X;;20719;JOSYANNE;PANTALON;ARTEMIS;24E;32;90;-;PFL;0GH;;R0;
20720                            X;;20720;JOVAN;CHEMISE;ARTEMIS;24E;33;90;-;PFL;0GH;;R0;
20721                            X;;20721;JOVANY;SHORT;ARTEMIS;24E;28;80;-;PFL;0GH;;R0;
20722                            X;;20722;JOSEFA;ROBE;ARTEMIS;24E;49;140;-;PFL;0GH;;R0;
20723                            X;;20723;JOSCELINE;ROBE;ARTEMIS;24E;51;140;-;PFL;0GH;;R0;
20724                            X;;20724;JOHANA;ROBE;ARTEMIS;24E;43;130;-;PFL;0GH;;R0;
20725                            X;;20725;JOYCE;ROBE;ARTEMIS;24E;46;130;-;PFL;0GH;;R0;
20726                            X;;20726;JOZEF;BLOUSE;ARTEMIS;24E;32;100;-;PFL;0GH;;R0;
20727                            X;;20727;JUAN;CHEMISE;ARTEMIS;24E;32;100;-;PFL;0GH;;R0;
20728                            X;;20728;JOVANA;CHEMISE DE NUIT;STE TEX-MODE;24E;19;60;-;PFL;0GH;;R0;
20729                            X;;20729;JOVANI;PANTALON JOGGING;STE TEX-MODE;24E;23;70;-;PFL;0GH;;R0;
20730                            X;;20730;JOVANNY;PANTALON JOGGING;STE TEX-MODE;24E;23;70;-;PFL;0GH;;R0;
20731                            X;;20731;JOUWAYRIYA;PANTALON JOGGING;STE TEX-MODE;24E;23;70;-;PFL;0GH;;R0;
20732                            X;;20732;JOY;PANTALON JOGGING;STE TEX-MODE;24E;23;70;-;PFL;0GH;;R0;
20733                            X;;20733;JOYA;PANTALON JOGGING;STE TEX-MODE;24E;23;70;-;PFL;0GH;;R0;
20734                            X;;20734;JUAN;PANTALON JOGGING;STE TEX-MODE;24E;23;70;-;PFL;0GH;;R0;
20735                            X;;20735;JUANA;CHEMISE DE NUIT;STE TEX-MODE;24E;19;60;-;PFL;0GH;;R0;
20736                            X;;20736;JUANITA;CHEMISE DE NUIT;STE TEX-MODE;24E;19;60;-;PFL;0GH;;R0;
20737                            X;;20737;JUANITO;TEE SHIRT;STE TEX-MODE;24E;13;40;-;PFL;0GH;;R0;
20738                            X;;20738;JUBA;TEE SHIRT;STE TEX-MODE;24E;14;40;-;PFL;0GH;;R0;
20739                            X;;20739;JUDE;TEE SHIRT;STE TEX-MODE;24E;15;50;-;PFL;0GH;;R0;
20740                            X;;20740;JIVAN;PANTALON JOGGING;STE TEX-MODE;24E;31;90;-;PFL;0GH;;R0;
20741                            X;;20741;JIYAN;CHEMISE DE NUIT;STE TEX-MODE;24E;24;80;-;PFL;0GH;;R0;
20742                            X;;20742;JOHANIE;DEBARDEUR;STE TEX-MODE;24E;10;30;-;PFL;0GH;;;
20743                            X;;20743;JOA;TEE SHIRT;STE TEX-MODE;24E;11;50;-;PFL;0GH;;R0;
20744                            X;;20744;JULYANE;GILET;COMETEX;24E;32;90;-;PFL;0GE;;R0;
20745                            X;;20745;JUDES;ROBE;STE TEX-MODE;24E;54;150;-;PFL;0GE;;R0;
20746                            X;;20746;JOHANN;ROBE;STE TEX-MODE;24E;53;150;-;PFL;0GE;;R0;
20747                            X;;20747;JOHANNA;CHEMISE;STE TEX-MODE;24E;29;90;-;PFL;0GE;;R0;
20748                            X;;20748;JOHANNES;ROBE;STE TEX-MODE;24E;53;150;-;PFL;0GE;;R0;
20749                            X;;20749;JOHANNE;CHEMISE;STE TEX-MODE;24E;32;100;-;PFL;0GE;;R0;
20750                            X;;20750;JOHANNIE;ROBE;STE TEX-MODE;24E;54;150;-;PFL;0GE;;R0;
20751                            X;;20751;JOHANNY;BLOUSE;STE TEX-MODE;24E;32;90;-;PFL;0GE;;R0;
20752                            X;;20752;JOSELINE;TEE SHIRT;STE PRIMAVET;24E;14;50;-;PFL;0GE;;R0;
20753                            X;;20753;JOACHIM;PANTALON;MY LOOK;24E;26;80;-;PFL;0GE;;R0;
20754                            X;;20754;JOAKIM;ROBE;MY LOOK;24E;35;100;-;PFL;0GE;;R0;
20755                            X;;20755;JOAN;ROBE;MY LOOK;24E;35;100;-;PFL;0GE;;R0;
20756                            X;;20756;JOANA;ROBE;MY LOOK;24E;31;90;-;PFL;0GE;;R0;
20757                            X;;20757;JOANES;PANTALON;MY LOOK;24E;24;80;-;PFL;0GE;;R0;
20758                            X;;20758;JOANIE;DEBARDEUR;MY LOOK;24E;17;60;-;PFL;0GE;;R0;
20759                            X;;20759;JOANNA;PANTALON;MY LOOK;24E;24;80;-;PFL;0GE;;R0;
20760                            X;;20760;JOHANY;BLOUSE;MY LOOK;24E;23;70;-;PFL;0GE;;R0;
20761                            X;;20761;JOHARA;ROBE;MY LOOK;24E;33;100;-;PFL;0GE;;R0;
20762                            X;;20762;JOHAYNA;ROBE;MY LOOK;24E;30;90;-;PFL;0GE;;R0;
20763                            X;;20763;JOHN;SHORT;MY LOOK;24E;24;80;-;PFL;0GE;;R0;
20764                            X;;20764;JOHNATAN;CHEMISE;MY LOOK;24E;31;90;-;PFL;0GE;;R0;
20765                            X;;20765;JOSCELYNE;ROBE;MY LOOK;24E;33;100;-;PFL;0GE;;R0;
20766                            X;;20766;JOKIN;ROBE;MY LOOK;24E;33;100;-;PFL;0GE;;R0;
20767                            X;;20767;JOHNATHAN;PANTALON;SOTTEX;24E;27;80;-;PFL;0GE;;R0;
20768                            X;;20768;JOANE;DOUDOUNE;SOTTEX;24E;43;130;-;PFL;0GE;;R0;
20769                            X;;20769;JO;Tenue de Sport;MAILLE CLUB;24E;24;60;-;PFL;0GE;;R0;
20770                            X;;20770;JOACHIN;Tenue de Sport;MAILLE CLUB;24E;15;35;-;PFL;0GE;;R0;
20771                            X;;20771;JOANNE;Tenue de Sport;MAILLE CLUB;24E;21;50;-;PFL;0GE;;R0;
20772                            X;;20772;JOANNIE;Tenue de Sport;MAILLE CLUB;24E;21;50;-;PFL;0GE;;R0;
20773                            X;;20773;JOANNY;Tenue de Sport;MAILLE CLUB;24E;22;60;-;PFL;0GE;;R0;
20774                            X;;20774;JOAO;Tenue de Sport;MAILLE CLUB;24E;12;35;-;PFL;0GE;;R0;
20775                            X;;20775;JOHNY;PULL;STE GAT FASHION;24E;27;80;-;PFL;0GE;;R0;
