Identifiant article;Code-barres article;Code article;Libellé;Famille;Fournisseur principal;Collection;Prix de revient HT article;Prix Détail (TTC);Prix unique;Catégorie;Grille masque des dimensions;Grille dimension 1;Code tarif;
55805                            X;;55805;LIOR;PYJAMA;STE TEX-MODE;25H;27;90;-;PFL;25H;;;
55806                            X;;55806;LILIAN;JOGGING;DELFINO;25H;81;210;-;PFL;25H;;;
55807                            X;;55807;LEANDRE;JOGGING;DELFINO;25H;80;210;-;PFL;25H;;;
55808                            X;;55808;LEROY;JOGGING;DELFINO;25H;78;210;-;PFL;25H;;;
55809                            X;;55809;LOUPIN;PULL;STE GAT FASHION;25H;27;100;-;PFL;25H;;;
55810                            X;;55810;LIAMINE;PULL;STE GAT FASHION;25H;27;100;-;PFL;25H;;;
55811                            X;;55811;LOIKA;PYJAMA;STE TEX-MODE;25H;29;100;-;PFL;25H;;;
55813                            X;;55813;LUCIANO;PYJAMA;DELFINO;25H;38;110;-;PFL;25H;;;
55814                            X;;55814;LAYAN;PYJAMA;DELFINO;25H;37;100;-;PFL;25H;;;
55815                            X;;55815;LAUREL;PYJAMA;DELFINO;25H;45;120;-;PFL;25H;;;
55816                            X;;55816;LONY;PYJAMA;DELFINO;25H;38;110;-;PFL;25H;;;
55817                            X;;55817;LAZLO;POLO;DELFINO;25H;35;110;-;PFL;25H;;;
55818                            X;;55818;LEANOR;POLO;DELFINO;25H;31;100;-;PFL;25H;;;
55819                            X;;55819;LAINY;POLO;DELFINO;25H;32;110;-;PFL;25H;;;
55820                            X;;55820;LEZIN;PYJAMA;STE TEX-MODE;25H;29;100;-;PFL;25H;;;
55821                            X;;55821;LORANI;TENUE VENDEUR(se);DELFINO;25H;25;0;-;PFL;25H;;;
55830                            X;;55830;MARK;PANTALON JOGGING;DELFINO;26E;31;90;-;PFL;0H5;;;
55831                            X;;55831;MARCUS;PANTACOURT;DELFINO;26E;27;80;-;PFL;0H5;;;
55832                            X;;55832;MILO;SHORT;DELFINO;26E;25;70;-;PFL;0H5;;;
55833                            X;;55833;MULVIN;POLO;DELFINO;26E;30;100;-;PFL;0H5;;;
55834                            X;;55834;MANUEL;POLO;DELFINO;26E;29;90;-;PFL;0H5;;;
55836                            X;;55836;MARCO;PYJAMA;DELFINO;26E;35;100;-;PFL;0H5;;;
